timestamp,testcase,vnf,packets,bytes,rate
"2022-05-06 16:40:33","snort-ids,netsniff-ng,suricata-ids",suricata-ids,11.375000,2434.250000,0.000000
"2022-05-06 16:42:01","snort-ids,netsniff-ng,suricata-ids",snort-ids,0.000000,0.000000,0.000000
"2022-05-06 16:42:02","snort-ids,netsniff-ng,suricata-ids",netsniff-ng,39.000000,0.000000,0.000000
"2022-05-06 16:42:03","snort-ids,netsniff-ng,suricata-ids",suricata-ids,12.750000,2419.750000,0.000000
"2022-05-06 16:47:10","snort-ids,firewall,tcpdump",snort-ids,0.000000,0.000000,0.000000
"2022-05-06 16:47:11","snort-ids,firewall,tcpdump",tcpdump,0.000000,0.000000,0.000000
"2022-05-06 16:48:34","snort-ids,firewall,tcpdump",snort-ids,19684.500000,1456653.000000,0.000000
"2022-05-06 16:48:35","snort-ids,firewall,tcpdump",tcpdump,0.000000,0.000000,0.000000
"2022-05-06 17:03:53","snort-ids,tcpdump,firewall",snort-ids,0.000000,0.000000,0.000000
"2022-05-06 17:03:54","snort-ids,tcpdump,firewall",tcpdump,0.000000,0.000000,0.000000
"2022-05-06 17:05:33","snort-ids,tcpdump,firewall",snort-ids,21571.500000,1596291.000000,0.000000
"2022-05-06 17:05:34","snort-ids,tcpdump,firewall",tcpdump,0.000000,0.000000,0.000000
"2022-05-06 17:07:01","snort-ids,tcpdump,firewall",snort-ids,21571.500000,1596291.000000,0.000000
"2022-05-06 17:07:02","snort-ids,tcpdump,firewall",tcpdump,1085056.000000,0.000000,0.000000
"2022-05-06 17:08:34","snort-ids,tcpdump,firewall",snort-ids,19755.000000,1461870.000000,0.000000
"2022-05-06 17:08:35","snort-ids,tcpdump,firewall",tcpdump,1632401.000000,0.000000,0.000000
"2022-05-06 17:10:00","snort-ids,tcpdump,firewall",snort-ids,19755.000000,1461870.000000,0.000000
"2022-05-06 17:10:01","snort-ids,tcpdump,firewall",tcpdump,1632401.000000,0.000000,0.000000
"2022-05-06 17:13:26","netsniff-ng,suricata-ids,tcpdump",netsniff-ng,49.000000,0.000000,0.000000
"2022-05-06 17:13:27","netsniff-ng,suricata-ids,tcpdump",suricata-ids,0.000000,0.000000,0.000000
"2022-05-06 17:13:28","netsniff-ng,suricata-ids,tcpdump",tcpdump,0.000000,0.000000,0.000000
"2022-05-06 17:14:48","netsniff-ng,suricata-ids,tcpdump",netsniff-ng,49.000000,0.000000,0.000000
"2022-05-06 17:14:48","netsniff-ng,suricata-ids,tcpdump",suricata-ids,13.000000,2434.250000,0.000000
"2022-05-06 17:14:50","netsniff-ng,suricata-ids,tcpdump",tcpdump,0.000000,0.000000,0.000000
"2022-05-06 17:16:18","netsniff-ng,suricata-ids,tcpdump",netsniff-ng,49.000000,0.000000,0.000000
"2022-05-06 17:16:19","netsniff-ng,suricata-ids,tcpdump",suricata-ids,13.000000,2434.250000,0.000000
"2022-05-06 17:16:20","netsniff-ng,suricata-ids,tcpdump",tcpdump,0.000000,0.000000,0.000000
"2022-05-06 17:17:48","netsniff-ng,suricata-ids,tcpdump",netsniff-ng,49.000000,0.000000,0.000000
"2022-05-06 17:17:49","netsniff-ng,suricata-ids,tcpdump",suricata-ids,13.000000,2434.250000,0.000000
"2022-05-06 17:17:50","netsniff-ng,suricata-ids,tcpdump",tcpdump,188.000000,0.000000,0.000000
"2022-05-06 17:19:18","netsniff-ng,suricata-ids,tcpdump",netsniff-ng,49.000000,0.000000,0.000000
"2022-05-06 17:19:19","netsniff-ng,suricata-ids,tcpdump",suricata-ids,13.000000,2434.250000,0.000000
"2022-05-06 17:19:20","netsniff-ng,suricata-ids,tcpdump",tcpdump,188.000000,0.000000,0.000000
